1	14.948	4.52328	11.3518	1.72411	0.24381	34	34	1.42823	70485	0.21869	2752	2.35865	0	160	2670	
1	14.948	12.3394	12.0028	1.81316	0.486165	34	34	1.50028	186173	0.586456	7249	6.18826	0	222	7122	
1	14.948	2.35275	10.975	1.76603	0.174234	34	34	1.45081	36929	0.117122	1375	1.17741	0	112	1362	
1	14.948	7.2789	10.9291	1.72479	0.320552	34	34	1.44026	114746	0.360679	4437	3.81465	0	344	4386	
1	14.948	4.65938	10.9937	1.70847	0.249742	34	34	1.42566	72267	0.227151	2790	2.39161	0	160	2721	
1	14.948	2.70772	11.0157	1.70634	0.171793	34	34	1.41395	38889	0.134831	1470	1.37382	0	133	1448	
1	14.948	5.52029	11.1769	1.6898	0.22633	34	34	1.40947	89449	0.277309	3490	2.987	0	200	3439	
1	14.948	4.83979	11.0912	1.75038	0.21295	34	34	1.44196	76131	0.240297	2938	2.49961	0	140	2903	
1	14.948	3.46399	11.0488	1.81182	0.177349	34	34	1.44647	53962	0.169847	2147	1.83692	0	88	2044	
1	14.948	3.81928	11.009	1.6966	0.200499	34	34	1.41951	59552	0.186397	2362	2.01901	0	175	2253	
1	14.948	7.33181	10.9978	1.68178	0.499258	34	34	1.40231	102506	0.328333	4012	3.5255	0	176	3775	
1	14.948	4.21011	11.7633	1.72015	0.169653	34	34	1.43836	69605	0.217132	2707	2.30699	0	209	2666	
1	14.948	5.43561	11.0329	1.72223	0.249696	34	34	1.42801	85880	0.27093	3310	2.81389	0	238	3274	
1	14.948	6.51702	11.0146	1.74413	0.412644	34	34	1.42588	96618	0.309948	3650	3.18741	0	316	3609	
1	14.948	4.05588	11.0917	1.72872	0.28713	34	34	1.43286	60344	0.192753	2272	1.9662	0	179	2234	
1	14.948	4.29837	11.0397	1.71941	0.224027	34	34	1.42122	64953	0.212411	2508	2.23892	0	221	2466	
1	14.948	11.1784	11.1068	1.75821	0.628649	34	34	1.43028	161088	0.514966	6174	5.35916	0	245	6045	
1	14.948	9.18136	11.0607	1.73974	0.42971	34	34	1.43569	136264	0.426279	5309	4.52122	0	216	5167	
1	14.948	7.5841	11.0957	1.70842	0.468897	34	34	1.41327	111136	0.351805	4255	3.63765	0	281	4145	
1	14.948	10.2862	11.077	1.70878	0.507734	34	34	1.42025	149046	0.480267	5704	4.96269	0	205	5634	
1	14.948	3.62374	20.1388	3.64938	0.186009	34	34	3.01892	58227	0.182938	2260	1.93074	0	144	2216	
1	14.948	3.64796	11.1411	1.70921	0.192997	34	34	1.41917	56611	0.179069	2193	1.88313	0	161	2143	
1	14.948	5.55213	11.0872	1.75577	0.332172	34	34	1.42666	80679	0.254499	3251	2.79116	0	166	3020	
1	14.948	6.04809	11.0518	1.75517	0.346295	34	34	1.42326	87285	0.273174	3507	3.02099	0	133	3276	
