933	515	0	19.3619	45.6633	0.606901	4.90674	1.05518	119	119	4.18304	386145	1.4184	16921	16.889	0	0	13948	
132	370	1	16.5525	2.89413	0.585787	4.13155	0.045989	99	99	3.53552	43803	0.1453	1762	1.63806	0	175	1701	
369	794	1	21.4758	5.79117	0.606791	3.71236	0.161664	88	88	3.18668	77394	0.263855	3020	2.82169	0	199	2886	
267	278	1	25.8668	32.1047	0.605555	4.15512	0.51321	100	100	3.54958	326590	1.14344	14304	14.1646	0	364	12504	
498	117	0	24.0622	46.7896	0.607242	3.79187	0.697177	91	91	3.24533	389216	1.41301	16208	16.3424	0	0	14448	
328	2	0	24.4162	46.7855	0.579544	3.90139	1.58096	93	93	3.33942	274236	1.03572	15595	16.4445	0	0	9240	
635	729	0	22.1048	46.9226	0.580668	3.61243	1.00529	86	86	3.09445	342820	1.28635	15707	16.1786	0	0	12373	
396	543	1	17.0332	3.71733	0.68863	3.5767	0.086212	77	77	3.07526	46589	0.182198	1908	2.08852	0	193	1818	
48	564	0	24.4784	46.4076	0.696446	4.14396	0.572905	91	91	3.55644	432179	1.54206	18239	17.9212	0	0	16323	
241	64	0	30.3247	45.1289	0.576685	5.59606	0.81026	131	131	4.78903	421297	1.60911	17234	18.4987	0	0	16223	
605	612	0	25.502	46.7806	0.580232	4.09752	0.806209	85	85	3.51432	321426	1.46503	13208	16.1866	0	0	12144	
926	490	0	20.0914	45.8673	0.738595	4.80097	1.32877	82	82	4.1215	345806	1.55295	13672	16.2313	0	0	12990	
680	983	0	27.5319	46.5135	0.606789	4.21129	1.0597	99	99	3.60942	370441	1.487	16199	17.9076	0	0	13940	
201	742	0	26.9202	46.1676	0.708716	4.61439	1.1769	99	99	3.94273	433633	1.88423	17719	21.8319	0	0	16750	
635	135	0	25.8814	45.3311	0.636294	5.58901	1.14046	104	104	4.81039	273045	1.37306	13365	18.1918	0	0	10208	
995	476	1	17.4308	6.19583	0.633833	4.24579	0.152433	91	91	3.65025	80427	0.293411	3188	3.17761	0	232	3103	
