0	1	0	37.4197	28.0325	1.89588	2.34461	0.49495	80	80	2.38498	528942	2.16438	12778	6.66922	0	0	20366	2	557	24.9071	5.46786	0.649115	7.37521	0.02738	
1	2	0	56.6456	27.8263	2.11538	2.61431	0.868357	72	72	2.71864	402585	1.54019	12387	6.38531	0	0	15172	2	3703	24.9589	3.89938	0.050194	8.94025	0.032976	
2	3	0	56.2615	27.5944	2.40116	2.20723	2.86945	61	61	2.28052	341125	1.20758	10081	4.68611	0	0	11196	2	3155	25.2321	2.97253	0	9.31154	0.04758	
3	4	0	50.9854	27.7892	2.17979	2.7217	1.38988	74	74	2.78155	414174	1.39988	14352	6.38367	0	0	15505	2	5704	24.9178	3.44457	0	8.73521	0.029256	
4	5	1	25.123	4.07807	1.73895	2.49305	0.072248	86	86	2.5387	60682	0.159283	1337	0.447023	0	169	2284	2	50	1.46427	0.489682	0.000156	0.167232	0.001793	
5	6	0	56.5655	28.352	1.64545	2.7494	0.616595	80	80	2.78552	705331	1.7433	17469	5.71671	0	0	26689	2	2164	25.335	4.26101	0.145827	10.1473	0.023901	
6	7	1	24.551	8.0565	1.85912	1.79841	0.375139	65	65	1.84548	190426	0.463039	5528	1.71403	0	337	7057	2	1436	6.14055	1.16862	0.007667	1.4998	0.006734	
7	8	0	34.6477	28.1095	1.88782	1.6541	1.07821	60	60	1.70934	488674	1.21175	16858	5.92327	0	0	18453	2	6459	26.3459	2.94449	0	12.3647	0.019939	
8	9	0	41.4786	28.1718	1.82807	2.26997	1.43694	67	67	2.32074	435108	1.13731	15233	5.27741	0	0	15439	2	5595	25.7672	2.65928	0	11.8822	0.026826	
9	10	0	42.1873	28.15	1.84789	2.37267	1.5291	76	76	2.42199	446658	1.30149	13187	4.90511	0	0	16069	2	3399	25.6518	3.04549	0	11.4924	0.02924	
10	11	0	71.3769	28.2168	1.77396	3.49778	0.588546	131	131	3.50659	666657	1.88429	19716	7.62519	0	0	25625	2	4249	24.0288	4.72925	0.574926	6.6028	0.020746	
11	12	1	41.9832	20.2338	1.78292	3.87293	0.557488	130	130	3.88696	379289	1.01459	12223	4.98707	0	589	14396	2	4383	16.2491	2.48446	0.000122	5.07995	0.013406	
12	13	0	61.5889	28.2999	1.68393	3.77055	0.614688	136	136	3.76669	652591	1.63101	20058	7.20276	0	0	24821	2	6259	24.4123	3.97162	0.007568	7.64041	0.020765	
13	14	0	38.7605	28.283	1.71807	3.65525	0.520748	134	134	3.64398	733600	1.83463	19521	6.83314	0	0	28118	2	3074	24.1921	4.5277	0.321271	7.68001	0.021286	
14	15	0	53.1764	28.3528	1.64753	3.77189	0.715501	135	135	3.76985	652097	1.63472	17720	6.403	0	0	24914	2	3691	24.4233	4.05449	0.043376	8.68069	0.019372	
